Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ou2nZT8UQJn1nuiUxAyjs,"Ain't No Sunshine","Got To Be There","Michael Jackson",1972-01-24,253466,53,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.529,0.616,5,-9.903,0,0.0511,0.0281,0.0000215,0.0796,0.736,151.991,4
spotify:track:3mnVgyzn5HC7Sqkn3B5zHs,"I Wanna Be Where You Are","Got To Be There","Michael Jackson",1972-01-24,182786,55,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.605,0.843,4,-8.546,0,0.0604,0.469,0.00235,0.118,0.662,103.817,4
spotify:track:2laojQD1QCqjvmMn8lFlPk,"Girl Don't Take Your Love From Me","Got To Be There","Michael Jackson",1972-01-24,231013,47,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.485,0.583,2,-8.564,0,0.0264,0.212,0,0.0573,0.779,176.403,4
spotify:track:6m6WAwH7v59fGJQz2luaXN,"In Our Small Way","Got To Be There","Michael Jackson",1972-01-24,221933,44,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.299,0.477,4,-8.571,1,0.0281,0.508,0,0.156,0.581,180.979,4
spotify:track:08QvVJT8y6b0i2nH9mUeMj,"Got To Be There - Single Version","Got To Be There","Michael Jackson",1972-01-24,204906,51,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.349,0.569,1,-9.512,1,0.0434,0.11,0.000122,0.0416,0.721,171.354,4
spotify:track:63gcHyuhAC8G2C0bVQUOJI,"Rockin' Robin","Got To Be There","Michael Jackson",1972-01-24,154840,62,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.622,0.721,10,-8.224,1,0.0983,0.24,0.0000788,0.271,0.968,173.395,4
spotify:track:5h6EHy1GvTcGrpedGZCPHL,"Wings Of My Love","Got To Be There","Michael Jackson",1972-01-24,205026,43,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.593,0.486,0,-11.095,1,0.0305,0.282,0.0296,0.0844,0.589,118.724,3
spotify:track:0w5Jpsn5Hr3CZkN2TvE681,"Maria (You Were The Only One) - Single Version","Got To Be There","Michael Jackson",1972-01-24,222880,43,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.418,0.645,8,-8.879,1,0.0751,0.0273,0.0000159,0.107,0.538,157.98,4
spotify:track:1UWM5Y6O7jU4ec2iaNn1os,"Love Is Here And Now You're Gone","Got To Be There","Michael Jackson",1972-01-24,174080,42,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.649,0.753,0,-8.964,1,0.0499,0.0558,0.0557,0.121,0.83,123.064,4
spotify:track:1jrJQ1Gib2ubaxAXe1z2Jc,"You've Got A Friend","Got To Be There","Michael Jackson",1972-01-24,298960,45,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:19Z,"","Motown",0.543,0.635,0,-8.967,1,0.0351,0.501,0.00000113,0.0955,0.81,168.399,4
spotify:track:3vZMkLS1jP7NdNhzqGfUSW,"Ben - Single Version","Ben","Michael Jackson",1972-08-04,165160,70,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.464,0.132,5,-12.935,1,0.0283,0.81,0.0000116,0.0994,0.303,68.152,4
spotify:track:0JNWjP8NKlFFUWqDrP7TpF,"Greatest Show On Earth","Ben","Michael Jackson",1972-08-04,167866,47,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.476,0.738,10,-9.747,1,0.0544,0.304,0.000685,0.0607,0.772,155.383,4
spotify:track:3qyYdDTTcsSJEaRGKojM0K,"People Make The World Go 'Round","Ben","Michael Jackson",1972-08-04,194893,44,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.616,0.351,9,-10.926,0,0.0277,0.559,0.000103,0.0826,0.642,91.139,4
spotify:track:6aeAzB6GWHIOrNVJq7nq64,"We've Got A Good Thing Going","Ben","Michael Jackson",1972-08-04,182520,47,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.61,0.427,0,-12.13,1,0.0428,0.578,0.00000805,0.206,0.717,177.391,4
spotify:track:5ubtBqHw2cZXQjTOE9yJRp,"Everybody's Somebody's Fool","Ben","Michael Jackson",1972-08-04,179000,44,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.56,0.583,2,-8.209,1,0.0387,0.468,0.0000919,0.401,0.858,146.335,4
spotify:track:6iyr0pAtw5qMO0rxefkp2i,"My Girl","Ben","Michael Jackson",1972-08-04,188760,50,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.729,0.587,8,-9.901,1,0.0392,0.177,0.0000166,0.115,0.837,105.586,4
spotify:track:0ijATlX8z4mmteT6H0CCJW,"What Goes Around Comes Around","Ben","Michael Jackson",1972-08-04,213466,44,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.539,0.777,11,-10.487,0,0.0429,0.409,0.0000062,0.0998,0.74,101.761,4
spotify:track:6Wzu7TR7G7x8TJKU7YmmoL,"In Our Small Way","Ben","Michael Jackson",1972-08-04,218000,42,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.293,0.46,4,-10.187,1,0.0289,0.482,0,0.205,0.63,179.165,4
spotify:track:1WFGTr3CG2i7VhLK1WUfy1,"Shoo-Be-Doo-Be-Doo-Da-Day","Ben","Michael Jackson",1972-08-04,200666,42,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.677,0.811,8,-10.432,1,0.0457,0.239,0.00000302,0.0808,0.96,130.73,4
spotify:track:3GZA4ZkofOs9jApP3khAge,"You Can Cry On My Shoulder","Ben","Michael Jackson",1972-08-04,159800,41,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:04:50Z,"","Motown",0.539,0.437,7,-13.084,1,0.0325,0.23,0,0.0506,0.761,121.759,4
spotify:track:0ls2HeVRI2LELC9uk43Kje,"With A Child's Heart","Music & Me","Michael Jackson",1973-08-13,214320,45,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.525,0.416,0,-11.315,0,0.0352,0.622,0.00143,0.154,0.263,150.231,4
spotify:track:6Fx7JOYuLE9qLCpqbGP007,"Up Again","Music & Me","Michael Jackson",1973-08-13,171306,42,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.684,0.581,5,-7.774,0,0.031,0.249,0.0000594,0.329,0.592,77.236,4
spotify:track:4DDOgnNo7c3s6OyFz1qcva,"All The Things You Are","Music & Me","Michael Jackson",1973-08-13,179293,42,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.523,0.82,5,-6.911,0,0.04,0.0957,0.0216,0.0517,0.716,137.798,4
spotify:track:6BDMvjPOmi6GxxDCkhriRw,"Happy (Love Theme From ""Lady Sings The Blues"")","Music & Me","Michael Jackson",1973-08-13,207826,47,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.37,0.562,9,-6.801,1,0.0278,0.276,0.000214,0.108,0.516,168.104,4
spotify:track:79CnUb0xbPX1RownugyB6i,"Too Young","Music & Me","Michael Jackson",1973-08-13,219733,40,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.274,0.197,10,-13.011,1,0.0299,0.466,0.00083,0.126,0.147,81.225,4
spotify:track:3OjmX0r4YC4X9W4vOdad61,"Doggin' Around","Music & Me","Michael Jackson",1973-08-13,174040,45,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.355,0.754,0,-8.829,1,0.0855,0.149,0.000491,0.0788,0.944,185.782,3
spotify:track:6aimcSBT324jkydqeiCIh6,"Johnny Raven","Music & Me","Michael Jackson",1973-08-13,216813,38,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.673,0.764,10,-6.302,1,0.0289,0.275,0.0000836,0.072,0.848,111.354,4
spotify:track:4i06h7zcGD2JXZRq8ZJoc4,"Euphoria","Music & Me","Michael Jackson",1973-08-13,169613,40,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.52,0.808,9,-6.889,0,0.0596,0.0376,0.00493,0.227,0.938,151.521,4
spotify:track:3XIPO30JGpeTGCpCA7OO0X,"Morning Glow","Music & Me","Michael Jackson",1973-08-13,218853,39,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.609,0.574,8,-8.213,1,0.0241,0.147,0.00102,0.0504,0.761,100.627,4
spotify:track:0QBDsZH9PDnKVQBxEcefku,"Music And Me","Music & Me","Michael Jackson",1973-08-13,162520,53,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:04Z,"","Motown",0.352,0.276,4,-11.737,1,0.0274,0.731,0.000143,0.144,0.219,148.518,4
spotify:track:5kazs4V71SpcTVUTcorIyJ,"We're Almost There","Forever, Michael","Michael Jackson",1975-01-16,227146,50,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:11Z,"","Motown",0.573,0.853,11,-9.047,1,0.071,0.0989,0,0.299,0.776,93.524,4
spotify:track:7MkLxkbdYmH31jvfF4EKcM,"Take Me Back","Forever, Michael","Michael Jackson",1975-01-16,210146,48,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:11Z,"","Motown",0.653,0.729,8,-9.99,1,0.0366,0.497,0.000682,0.273,0.772,99.629,4
spotify:track:7vtaQNW7QHtQsLeshQlm3D,"One Day In Your Life","Forever, Michael","Michael Jackson",1975-01-16,258160,62,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:11Z,"","Motown",0.294,0.483,4,-11.674,1,0.031,0.506,0.0185,0.128,0.174,79.946,4
spotify:track:0TlpbHiPR7XohVbxWR6UN4,"Cinderella Stay Awhile","Forever, Michael","Michael Jackson",1975-01-16,193320,43,false,jn3vg545bmz7gns7tlnk04mcm,2026-05-14T18:05:11Z,"","Motown",0.694,0.554,7,-11.292,1,0.0343,0.157,0.000295,0.16,0.825,129.977,4
